"サンプル","時間","デコーダー","Ann Row","Ann Class","値",
"802249","802.249 ms","I2C","Bits","Data/address bit","0",
"802251","802.251 ms","I2C","Bits","Data/address bit","0",
"802254","802.254 ms","I2C","Bits","Data/address bit","0",
"802257","802.257 ms","I2C","Bits","Data/address bit","0",
"802259","802.259 ms","I2C","Bits","Data/address bit","0",
"802262","802.262 ms","I2C","Bits","Data/address bit","0",
"802265","802.265 ms","I2C","Bits","Data/address bit","0",
"802267","802.267 ms","I2C","Bits","Data/address bit","0",
"802270","802.270 ms","I2C","Address/data","ACK","ACK",
"802273","802.273 ms","I2C","Address/data","Data write","Data write: 00",
"802273","802.273 ms","I2C","Bits","Data/address bit","0",
"802275","802.275 ms","I2C","Bits","Data/address bit","0",
"802278","802.278 ms","I2C","Bits","Data/address bit","0",
"802281","802.281 ms","I2C","Bits","Data/address bit","0",
"802283","802.283 ms","I2C","Bits","Data/address bit","0",
"802286","802.286 ms","I2C","Bits","Data/address bit","0",
"802289","802.289 ms","I2C","Bits","Data/address bit","0",
"802292","802.292 ms","I2C","Bits","Data/address bit","0",
"802294","802.294 ms","I2C","Address/data","ACK","ACK",
"802297","802.297 ms","I2C","Address/data","Data write","Data write: 00",
"802297","802.297 ms","I2C","Bits","Data/address bit","0",
"802300","802.300 ms","I2C","Bits","Data/address bit","0",
"802302","802.302 ms","I2C","Bits","Data/address bit","0",
"802305","802.305 ms","I2C","Bits","Data/address bit","0",
"802308","802.308 ms","I2C","Bits","Data/address bit","0",
"802310","802.310 ms","I2C","Bits","Data/address bit","0",
"802313","802.313 ms","I2C","Bits","Data/address bit","0",
"802316","802.316 ms","I2C","Bits","Data/address bit","0",
"802318","802.318 ms","I2C","Address/data","ACK","ACK",
"802321","802.321 ms","I2C","Address/data","Data write","Data write: 00",
"802321","802.321 ms","I2C","Bits","Data/address bit","0",
"802324","802.324 ms","I2C","Bits","Data/address bit","0",
"802326","802.326 ms","I2C","Bits","Data/address bit","0",
"802329","802.329 ms","I2C","Bits","Data/address bit","0",
"802332","802.332 ms","I2C","Bits","Data/address bit","0",
"802334","802.334 ms","I2C","Bits","Data/address bit","0",
"802337","802.337 ms","I2C","Bits","Data/address bit","0",
"802340","802.340 ms","I2C","Bits","Data/address bit","0",
"802343","802.343 ms","I2C","Address/data","ACK","ACK",
"802345","802.345 ms","I2C","Address/data","Data write","Data write: 00",
"802345","802.345 ms","I2C","Bits","Data/address bit","0",
"802348","802.348 ms","I2C","Bits","Data/address bit","0",
"802351","802.351 ms","I2C","Bits","Data/address bit","0",
"802353","802.353 ms","I2C","Bits","Data/address bit","0",
"802356","802.356 ms","I2C","Bits","Data/address bit","0",
"802359","802.359 ms","I2C","Bits","Data/address bit","0",
"802361","802.361 ms","I2C","Bits","Data/address bit","0",
"802364","802.364 ms","I2C","Bits","Data/address bit","0",
"802367","802.367 ms","I2C","Address/data","ACK","ACK",
"802369","802.369 ms","I2C","Address/data","Data write","Data write: 00",
"802369","802.369 ms","I2C","Bits","Data/address bit","0",
"802372","802.372 ms","I2C","Bits","Data/address bit","0",
"802375","802.375 ms","I2C","Bits","Data/address bit","0",
"802377","802.377 ms","I2C","Bits","Data/address bit","0",
"802380","802.380 ms","I2C","Bits","Data/address bit","0",
"802383","802.383 ms","I2C","Bits","Data/address bit","0",
"802385","802.385 ms","I2C","Bits","Data/address bit","0",
"802388","802.388 ms","I2C","Bits","Data/address bit","0",
"802391","802.391 ms","I2C","Address/data","ACK","ACK",
"802394","802.394 ms","I2C","Address/data","Data write","Data write: 00",
"802394","802.394 ms","I2C","Bits","Data/address bit","0",
"802396","802.396 ms","I2C","Bits","Data/address bit","0",
"802399","802.399 ms","I2C","Bits","Data/address bit","0",
"802402","802.402 ms","I2C","Bits","Data/address bit","0",
"802404","802.404 ms","I2C","Bits","Data/address bit","0",
"802407","802.407 ms","I2C","Bits","Data/address bit","0",
"802410","802.410 ms","I2C","Bits","Data/address bit","0",
"802412","802.412 ms","I2C","Bits","Data/address bit","0",
"802415","802.415 ms","I2C","Address/data","ACK","ACK",
"802418","802.418 ms","I2C","Address/data","Data write","Data write: 00",
"802418","802.418 ms","I2C","Bits","Data/address bit","0",
"802420","802.420 ms","I2C","Bits","Data/address bit","0",
"802423","802.423 ms","I2C","Bits","Data/address bit","0",
"802426","802.426 ms","I2C","Bits","Data/address bit","0",
"802428","802.428 ms","I2C","Bits","Data/address bit","0",
"802431","802.431 ms","I2C","Bits","Data/address bit","0",
"802434","802.434 ms","I2C","Bits","Data/address bit","0",
"802437","802.437 ms","I2C","Bits","Data/address bit","0",
"802439","802.439 ms","I2C","Address/data","ACK","ACK",
"802443","802.443 ms","I2C","Address/data","Stop condition","Stop",
"818809","818.809 ms","I2C","Address/data","Start condition","Start",
"818812","818.812 ms","I2C","Bits","Data/address bit","1",
"818812","818.812 ms","I2C","Address/data","Address write","Address write: 70",
"818814","818.814 ms","I2C","Bits","Data/address bit","1",
"818817","818.817 ms","I2C","Bits","Data/address bit","1",
"818820","818.820 ms","I2C","Bits","Data/address bit","0",
"818822","818.822 ms","I2C","Bits","Data/address bit","0",
"818825","818.825 ms","I2C","Bits","Data/address bit","0",
"818828","818.828 ms","I2C","Bits","Data/address bit","0",
"818830","818.830 ms","I2C","Bits","Data/address bit","0",
"818830","818.830 ms","I2C","Address/data","Address write","Write",
"818833","818.833 ms","I2C","Address/data","ACK","ACK",
"818836","818.836 ms","I2C","Address/data","Data write","Data write: 40",
"818836","818.836 ms","I2C","Bits","Data/address bit","0",
"818838","818.838 ms","I2C","Bits","Data/address bit","1",
"818841","818.841 ms","I2C","Bits","Data/address bit","0",
"818844","818.844 ms","I2C","Bits","Data/address bit","0",
"818846","818.846 ms","I2C","Bits","Data/address bit","0",
"818849","818.849 ms","I2C","Bits","Data/address bit","0",
"818852","818.852 ms","I2C","Bits","Data/address bit","0",
"818855","818.855 ms","I2C","Bits","Data/address bit","0",
"818857","818.857 ms","I2C","Address/data","ACK","ACK",
"818861","818.861 ms","I2C","Address/data","Stop condition","Stop",
"818873","818.873 ms","I2C","Address/data","Start condition","Start",
"818876","818.876 ms","I2C","Bits","Data/address bit","1",
"818876","818.876 ms","I2C","Address/data","Address read","Address read: 70",
"818879","818.879 ms","I2C","Bits","Data/address bit","1",
"818881","818.881 ms","I2C","Bits","Data/address bit","1",
"818884","818.884 ms","I2C","Bits","Data/address bit","0",
"818887","818.887 ms","I2C","Bits","Data/address bit","0",
"818889","818.889 ms","I2C","Bits","Data/address bit","0",
"818892","818.892 ms","I2C","Bits","Data/address bit","0",
"818895","818.895 ms","I2C","Bits","Data/address bit","1",
"818895","818.895 ms","I2C","Address/data","Address read","Read",
"818897","818.897 ms","I2C","Address/data","ACK","ACK",
"818900","818.900 ms","I2C","Address/data","Data read","Data read: 00",
"818900","818.900 ms","I2C","Bits","Data/address bit","0",
"818903","818.903 ms","I2C","Bits","Data/address bit","0",
"818906","818.906 ms","I2C","Bits","Data/address bit","0",
"818908","818.908 ms","I2C","Bits","Data/address bit","0",
"818911","818.911 ms","I2C","Bits","Data/address bit","0",
"818914","818.914 ms","I2C","Bits","Data/address bit","0",
"818916","818.916 ms","I2C","Bits","Data/address bit","0",
"818919","818.919 ms","I2C","Bits","Data/address bit","0",
"818922","818.922 ms","I2C","Address/data","ACK","ACK",
"818925","818.925 ms","I2C","Address/data","Data read","Data read: 00",
"818925","818.925 ms","I2C","Bits","Data/address bit","0",
"818928","818.928 ms","I2C","Bits","Data/address bit","0",
"818930","818.930 ms","I2C","Bits","Data/address bit","0",
"818933","818.933 ms","I2C","Bits","Data/address bit","0",
"818936","818.936 ms","I2C","Bits","Data/address bit","0",
"818938","818.938 ms","I2C","Bits","Data/address bit","0",
"818941","818.941 ms","I2C","Bits","Data/address bit","0",
"818944","818.944 ms","I2C","Bits","Data/address bit","0",
"818947","818.947 ms","I2C","Address/data","ACK","ACK",
"818950","818.950 ms","I2C","Address/data","Data read","Data read: 00",
"818950","818.950 ms","I2C","Bits","Data/address bit","0",
"818952","818.952 ms","I2C","Bits","Data/address bit","0",
"818955","818.955 ms","I2C","Bits","Data/address bit","0",
"818958","818.958 ms","I2C","Bits","Data/address bit","0",
"818960","818.960 ms","I2C","Bits","Data/address bit","0",
"818963","818.963 ms","I2C","Bits","Data/address bit","0",
"818966","818.966 ms","I2C","Bits","Data/address bit","0",
"818968","818.968 ms","I2C","Bits","Data/address bit","0",
"818972","818.972 ms","I2C","Address/data","ACK","ACK",
"818974","818.974 ms","I2C","Address/data","Data read","Data read: 00",
"818974","818.974 ms","I2C","Bits","Data/address bit","0",
"818977","818.977 ms","I2C","Bits","Data/address bit","0",
"818980","818.980 ms","I2C","Bits","Data/address bit","0",
"818982","818.982 ms","I2C","Bits","Data/address bit","0",
"818985","818.985 ms","I2C","Bits","Data/address bit","0",
"818988","818.988 ms","I2C","Bits","Data/address bit","0",
"818991","818.991 ms","I2C","Bits","Data/address bit","0",
"818993","818.993 ms","I2C","Bits","Data/address bit","0",
"818997","818.997 ms","I2C","Address/data","ACK","ACK",
"819000","819.000 ms","I2C","Address/data","Data read","Data read: 00",
"819000","819.000 ms","I2C","Bits","Data/address bit","0",
"819002","819.002 ms","I2C","Bits","Data/address bit","0",
"819005","819.005 ms","I2C","Bits","Data/address bit","0",
"819008","819.008 ms","I2C","Bits","Data/address bit","0",
"819010","819.010 ms","I2C","Bits","Data/address bit","0",
"819013","819.013 ms","I2C","Bits","Data/address bit","0",
"819016","819.016 ms","I2C","Bits","Data/address bit","0",
"819018","819.018 ms","I2C","Bits","Data/address bit","0",
"819029","819.029 ms","I2C","Address/data","ACK","ACK",
"819032","819.032 ms","I2C","Address/data","Data read","Data read: 00",
"819032","819.032 ms","I2C","Bits","Data/address bit","0",
"819035","819.035 ms","I2C","Bits","Data/address bit","0",
"819037","819.037 ms","I2C","Bits","Data/address bit","0",
"819040","819.040 ms","I2C","Bits","Data/address bit","0",
"819043","819.043 ms","I2C","Bits","Data/address bit","0",
"819045","819.045 ms","I2C","Bits","Data/address bit","0",
"819048","819.048 ms","I2C","Bits","Data/address bit","0",
"819051","819.051 ms","I2C","Bits","Data/address bit","0",
"819053","819.053 ms","I2C","Address/data","NACK","NACK",
"819057","819.057 ms","I2C","Address/data","Stop condition","Stop",
"835422","835.422 ms","I2C","Address/data","Start condition","Start",
"835425","835.425 ms","I2C","Bits","Data/address bit","1",
"835425","835.425 ms","I2C","Address/data","Address write","Address write: 70",
"835427","835.427 ms","I2C","Bits","Data/address bit","1",
"835430","835.430 ms","I2C","Bits","Data/address bit","1",
"835433","835.433 ms","I2C","Bits","Data/address bit","0",
"835435","835.435 ms","I2C","Bits","Data/address bit","0",
"835438","835.438 ms","I2C","Bits","Data/address bit","0",
"835441","835.441 ms","I2C","Bits","Data/address bit","0",
"835443","835.443 ms","I2C","Bits","Data/address bit","0",
"835443","835.443 ms","I2C","Address/data","Address write","Write",
"835446","835.446 ms","I2C","Address/data","ACK","ACK",
"835449","835.449 ms","I2C","Address/data","Data write","Data write: 40",
"835449","835.449 ms","I2C","Bits","Data/address bit","0",
"835451","835.451 ms","I2C","Bits","Data/address bit","1",
"835454","835.454 ms","I2C","Bits","Data/address bit","0",
"835457","835.457 ms","I2C","Bits","Data/address bit","0",
"835460","835.460 ms","I2C","Bits","Data/address bit","0",
"835462","835.462 ms","I2C","Bits","Data/address bit","0",
"835465","835.465 ms","I2C","Bits","Data/address bit","0",
"835468","835.468 ms","I2C","Bits","Data/address bit","0",
"835470","835.470 ms","I2C","Address/data","ACK","ACK",
"835474","835.474 ms","I2C","Address/data","Stop condition","Stop",
"835486","835.486 ms","I2C","Address/data","Start condition","Start",
"835489","835.489 ms","I2C","Bits","Data/address bit","1",
"835489","835.489 ms","I2C","Address/data","Address read","Address read: 70",
"835492","835.492 ms","I2C","Bits","Data/address bit","1",
"835494","835.494 ms","I2C","Bits","Data/address bit","1",
"835497","835.497 ms","I2C","Bits","Data/address bit","0",
"835500","835.500 ms","I2C","Bits","Data/address bit","0",
"835502","835.502 ms","I2C","Bits","Data/address bit","0",
"835505","835.505 ms","I2C","Bits","Data/address bit","0",
"835508","835.508 ms","I2C","Bits","Data/address bit","1",
"835508","835.508 ms","I2C","Address/data","Address read","Read",
"835511","835.511 ms","I2C","Address/data","ACK","ACK",
"835513","835.513 ms","I2C","Address/data","Data read","Data read: 00",
"835513","835.513 ms","I2C","Bits","Data/address bit","0",
"835516","835.516 ms","I2C","Bits","Data/address bit","0",
"835519","835.519 ms","I2C","Bits","Data/address bit","0",
"835521","835.521 ms","I2C","Bits","Data/address bit","0",
"835524","835.524 ms","I2C","Bits","Data/address bit","0",
"835527","835.527 ms","I2C","Bits","Data/address bit","0",
"835529","835.529 ms","I2C","Bits","Data/address bit","0",
"835532","835.532 ms","I2C","Bits","Data/address bit","0",
"835535","835.535 ms","I2C","Address/data","ACK","ACK",
"835538","835.538 ms","I2C","Address/data","Data read","Data read: 00",
"835538","835.538 ms","I2C","Bits","Data/address bit","0",
"835541","835.541 ms","I2C","Bits","Data/address bit","0",
"835543","835.543 ms","I2C","Bits","Data/address bit","0",
"835546","835.546 ms","I2C","Bits","Data/address bit","0",
"835549","835.549 ms","I2C","Bits","Data/address bit","0",
"835552","835.552 ms","I2C","Bits","Data/address bit","0",
"835554","835.554 ms","I2C","Bits","Data/address bit","0",
"835557","835.557 ms","I2C","Bits","Data/address bit","0",
"835560","835.560 ms","I2C","Address/data","ACK","ACK",
"835563","835.563 ms","I2C","Address/data","Data read","Data read: 00",
"835563","835.563 ms","I2C","Bits","Data/address bit","0",
"835566","835.566 ms","I2C","Bits","Data/address bit","0",
"835568","835.568 ms","I2C","Bits","Data/address bit","0",
"835571","835.571 ms","I2C","Bits","Data/address bit","0",
"835574","835.574 ms","I2C","Bits","Data/address bit","0",
"835576","835.576 ms","I2C","Bits","Data/address bit","0",
"835579","835.579 ms","I2C","Bits","Data/address bit","0",
"835582","835.582 ms","I2C","Bits","Data/address bit","0",
"835585","835.585 ms","I2C","Address/data","ACK","ACK",
"835588","835.588 ms","I2C","Address/data","Data read","Data read: 00",
"835588","835.588 ms","I2C","Bits","Data/address bit","0",
"835590","835.590 ms","I2C","Bits","Data/address bit","0",
"835593","835.593 ms","I2C","Bits","Data/address bit","0",
"835596","835.596 ms","I2C","Bits","Data/address bit","0",
"835598","835.598 ms","I2C","Bits","Data/address bit","0",
"835601","835.601 ms","I2C","Bits","Data/address bit","0",
"835604","835.604 ms","I2C","Bits","Data/address bit","0",
"835606","835.606 ms","I2C","Bits","Data/address bit","0",
"835610","835.610 ms","I2C","Address/data","ACK","ACK",
"835612","835.612 ms","I2C","Address/data","Data read","Data read: 00",
"835612","835.612 ms","I2C","Bits","Data/address bit","0",
"835615","835.615 ms","I2C","Bits","Data/address bit","0",
"835618","835.618 ms","I2C","Bits","Data/address bit","0",
"835620","835.620 ms","I2C","Bits","Data/address bit","0",
"835623","835.623 ms","I2C","Bits","Data/address bit","0",
"835626","835.626 ms","I2C","Bits","Data/address bit","0",
"835628","835.628 ms","I2C","Bits","Data/address bit","0",
"835631","835.631 ms","I2C","Bits","Data/address bit","0",
"835642","835.642 ms","I2C","Address/data","ACK","ACK",
"835645","835.645 ms","I2C","Address/data","Data read","Data read: 00",
"835645","835.645 ms","I2C","Bits","Data/address bit","0",
"835647","835.647 ms","I2C","Bits","Data/address bit","0",
"835650","835.650 ms","I2C","Bits","Data/address bit","0",
"835653","835.653 ms","I2C","Bits","Data/address bit","0",
"835655","835.655 ms","I2C","Bits","Data/address bit","0",
"835658","835.658 ms","I2C","Bits","Data/address bit","0",
"835661","835.661 ms","I2C","Bits","Data/address bit","0",
"835663","835.663 ms","I2C","Bits","Data/address bit","0",
"835666","835.666 ms","I2C","Address/data","NACK","NACK",
"835670","835.670 ms","I2C","Address/data","Stop condition","Stop",
"852127","852.127 ms","I2C","Address/data","Start condition","Start",
"852130","852.130 ms","I2C","Bits","Data/address bit","1",
"852130","852.130 ms","I2C","Address/data","Address write","Address write: 70",
"852133","852.133 ms","I2C","Bits","Data/address bit","1",
"852135","852.135 ms","I2C","Bits","Data/address bit","1",
"852138","852.138 ms","I2C","Bits","Data/address bit","0",
"852141","852.141 ms","I2C","Bits","Data/address bit","0",
"852143","852.143 ms","I2C","Bits","Data/address bit","0",
"852146","852.146 ms","I2C","Bits","Data/address bit","0",
"852149","852.149 ms","I2C","Bits","Data/address bit","0",
"852149","852.149 ms","I2C","Address/data","Address write","Write",
"852151","852.151 ms","I2C","Address/data","ACK","ACK",
"852154","852.154 ms","I2C","Address/data","Data write","Data write: 00",
"852154","852.154 ms","I2C","Bits","Data/address bit","0",
"852157","852.157 ms","I2C","Bits","Data/address bit","0",
"852159","852.159 ms","I2C","Bits","Data/address bit","0",
"852162","852.162 ms","I2C","Bits","Data/address bit","0",
"852165","852.165 ms","I2C","Bits","Data/address bit","0",
"852168","852.168 ms","I2C","Bits","Data/address bit","0",
"852170","852.170 ms","I2C","Bits","Data/address bit","0",
"852173","852.173 ms","I2C","Bits","Data/address bit","0",
"852176","852.176 ms","I2C","Address/data","ACK","ACK",
"852178","852.178 ms","I2C","Address/data","Data write","Data write: 00",
"852178","852.178 ms","I2C","Bits","Data/address bit","0",
"852181","852.181 ms","I2C","Bits","Data/address bit","0",
"852184","852.184 ms","I2C","Bits","Data/address bit","0",
"852186","852.186 ms","I2C","Bits","Data/address bit","0",
"852189","852.189 ms","I2C","Bits","Data/address bit","0",
"852192","852.192 ms","I2C","Bits","Data/address bit","0",
"852194","852.194 ms","I2C","Bits","Data/address bit","0",
"852197","852.197 ms","I2C","Bits","Data/address bit","0",
"852200","852.200 ms","I2C","Address/data","ACK","ACK",
"852202","852.202 ms","I2C","Address/data","Data write","Data write: 00",
"852202","852.202 ms","I2C","Bits","Data/address bit","0",
"852205","852.205 ms","I2C","Bits","Data/address bit","0",
"852208","852.208 ms","I2C","Bits","Data/address bit","0",
"852210","852.210 ms","I2C","Bits","Data/address bit","0",
"852213","852.213 ms","I2C","Bits","Data/address bit","0",
"852216","852.216 ms","I2C","Bits","Data/address bit","0",
"852219","852.219 ms","I2C","Bits","Data/address bit","0",
"852221","852.221 ms","I2C","Bits","Data/address bit","0",
"852224","852.224 ms","I2C","Address/data","ACK","ACK",
"852227","852.227 ms","I2C","Address/data","Data write","Data write: 40",
"852227","852.227 ms","I2C","Bits","Data/address bit","0",
"852229","852.229 ms","I2C","Bits","Data/address bit","1",
"852232","852.232 ms","I2C","Bits","Data/address bit","0",
"852235","852.235 ms","I2C","Bits","Data/address bit","0",
"852237","852.237 ms","I2C","Bits","Data/address bit","0",
"852240","852.240 ms","I2C","Bits","Data/address bit","0",
"852243","852.243 ms","I2C","Bits","Data/address bit","0",
"852245","852.245 ms","I2C","Bits","Data/address bit","0",
"852248","852.248 ms","I2C","Address/data","ACK","ACK",
"852255","852.255 ms","I2C","Address/data","Data write","Data write: 00",
"852255","852.255 ms","I2C","Bits","Data/address bit","0",
"852257","852.257 ms","I2C","Bits","Data/address bit","0",
"852260","852.260 ms","I2C","Bits","Data/address bit","0",
"852263","852.263 ms","I2C","Bits","Data/address bit","0",
"852265","852.265 ms","I2C","Bits","Data/address bit","0",
"852268","852.268 ms","I2C","Bits","Data/address bit","0",
"852271","852.271 ms","I2C","Bits","Data/address bit","0",
"852273","852.273 ms","I2C","Bits","Data/address bit","0",
"852276","852.276 ms","I2C","Address/data","ACK","ACK",
"852279","852.279 ms","I2C","Address/data","Data write","Data write: 00",
"852279","852.279 ms","I2C","Bits","Data/address bit","0",
"852282","852.282 ms","I2C","Bits","Data/address bit","0",
"852284","852.284 ms","I2C","Bits","Data/address bit","0",
"852287","852.287 ms","I2C","Bits","Data/address bit","0",
"852290","852.290 ms","I2C","Bits","Data/address bit","0",
"852292","852.292 ms","I2C","Bits","Data/address bit","0",
"852295","852.295 ms","I2C","Bits","Data/address bit","0",
"852298","852.298 ms","I2C","Bits","Data/address bit","0",
"852300","852.300 ms","I2C","Address/data","ACK","ACK",
"852303","852.303 ms","I2C","Address/data","Data write","Data write: 00",
"852303","852.303 ms","I2C","Bits","Data/address bit","0",
"852306","852.306 ms","I2C","Bits","Data/address bit","0",
"852308","852.308 ms","I2C","Bits","Data/address bit","0",
"852311","852.311 ms","I2C","Bits","Data/address bit","0",
"852314","852.314 ms","I2C","Bits","Data/address bit","0",
"852316","852.316 ms","I2C","Bits","Data/address bit","0",
"852319","852.319 ms","I2C","Bits","Data/address bit","0",
"852322","852.322 ms","I2C","Bits","Data/address bit","0",
"852324","852.324 ms","I2C","Address/data","ACK","ACK",
"852327","852.327 ms","I2C","Address/data","Data write","Data write: 00",
"852327","852.327 ms","I2C","Bits","Data/address bit","0",
"852330","852.330 ms","I2C","Bits","Data/address bit","0",
"852333","852.333 ms","I2C","Bits","Data/address bit","0",
"852335","852.335 ms","I2C","Bits","Data/address bit","0",
"852338","852.338 ms","I2C","Bits","Data/address bit","0",
"852341","852.341 ms","I2C","Bits","Data/address bit","0",
"852343","852.343 ms","I2C","Bits","Data/address bit","0",
"852346","852.346 ms","I2C","Bits","Data/address bit","0",
"852349","852.349 ms","I2C","Address/data","ACK","ACK",
"852351","852.351 ms","I2C","Address/data","Data write","Data write: 00",
"852351","852.351 ms","I2C","Bits","Data/address bit","0",
"852354","852.354 ms","I2C","Bits","Data/address bit","0",
"852357","852.357 ms","I2C","Bits","Data/address bit","0",
"852359","852.359 ms","I2C","Bits","Data/address bit","0",
"852362","852.362 ms","I2C","Bits","Data/address bit","0",
"852365","852.365 ms","I2C","Bits","Data/address bit","0",
"852367","852.367 ms","I2C","Bits","Data/address bit","0",
"852370","852.370 ms","I2C","Bits","Data/address bit","0",
"852373","852.373 ms","I2C","Address/data","ACK","ACK",
"852375","852.375 ms","I2C","Address/data","Data write","Data write: 00",
"852375","852.375 ms","I2C","Bits","Data/address bit","0",
"852378","852.378 ms","I2C","Bits","Data/address bit","0",
"852381","852.381 ms","I2C","Bits","Data/address bit","0",
"852384","852.384 ms","I2C","Bits","Data/address bit","0",
"852386","852.386 ms","I2C","Bits","Data/address bit","0",
"852389","852.389 ms","I2C","Bits","Data/address bit","0",
"852392","852.392 ms","I2C","Bits","Data/address bit","0",
"852394","852.394 ms","I2C","Bits","Data/address bit","0",
"852397","852.397 ms","I2C","Address/data","ACK","ACK",
"852400","852.400 ms","I2C","Address/data","Data write","Data write: 00",
"852400","852.400 ms","I2C","Bits","Data/address bit","0",
"852402","852.402 ms","I2C","Bits","Data/address bit","0",
"852405","852.405 ms","I2C","Bits","Data/address bit","0",
"852408","852.408 ms","I2C","Bits","Data/address bit","0",
"852410","852.410 ms","I2C","Bits","Data/address bit","0",
"852413","852.413 ms","I2C","Bits","Data/address bit","0",
"852416","852.416 ms","I2C","Bits","Data/address bit","0",
"852418","852.418 ms","I2C","Bits","Data/address bit","0",
"852421","852.421 ms","I2C","Address/data","ACK","ACK",
"852424","852.424 ms","I2C","Address/data","Data write","Data write: 00",
"852424","852.424 ms","I2C","Bits","Data/address bit","0",
"852427","852.427 ms","I2C","Bits","Data/address bit","0",
"852429","852.429 ms","I2C","Bits","Data/address bit","0",
"852432","852.432 ms","I2C","Bits","Data/address bit","0",
"852435","852.435 ms","I2C","Bits","Data/address bit","0",
"852437","852.437 ms","I2C","Bits","Data/address bit","0",
"852440","852.440 ms","I2C","Bits","Data/address bit","0",
"852443","852.443 ms","I2C","Bits","Data/address bit","0",
"852445","852.445 ms","I2C","Address/data","ACK","ACK",
"852448","852.448 ms","I2C","Address/data","Data write","Data write: 00",
"852448","852.448 ms","I2C","Bits","Data/address bit","0",
"852451","852.451 ms","I2C","Bits","Data/address bit","0",
"852453","852.453 ms","I2C","Bits","Data/address bit","0",
"852456","852.456 ms","I2C","Bits","Data/address bit","0",
"852459","852.459 ms","I2C","Bits","Data/address bit","0",
"852461","852.461 ms","I2C","Bits","Data/address bit","0",
"852464","852.464 ms","I2C","Bits","Data/address bit","0",
"852467","852.467 ms","I2C","Bits","Data/address bit","0",
"852469","852.469 ms","I2C","Address/data","ACK","ACK",
"852472","852.472 ms","I2C","Address/data","Data write","Data write: 00",
"852472","852.472 ms","I2C","Bits","Data/address bit","0",
"852475","852.475 ms","I2C","Bits","Data/address bit","0",
"852478","852.478 ms","I2C","Bits","Data/address bit","0",
"852480","852.480 ms","I2C","Bits","Data/address bit","0",
"852483","852.483 ms","I2C","Bits","Data/address bit","0",
"852486","852.486 ms","I2C","Bits","Data/address bit","0",
"852488","852.488 ms","I2C","Bits","Data/address bit","0",
"852491","852.491 ms","I2C","Bits","Data/address bit","0",
"852494","852.494 ms","I2C","Address/data","ACK","ACK",
"852496","852.496 ms","I2C","Address/data","Data write","Data write: 00",
"852496","852.496 ms","I2C","Bits","Data/address bit","0",
"852499","852.499 ms","I2C","Bits","Data/address bit","0",
"852502","852.502 ms","I2C","Bits","Data/address bit","0",
"852504","852.504 ms","I2C","Bits","Data/address bit","0",
"852507","852.507 ms","I2C","Bits","Data/address bit","0",
"852510","852.510 ms","I2C","Bits","Data/address bit","0",
"852512","852.512 ms","I2C","Bits","Data/address bit","0",
"852515","852.515 ms","I2C","Bits","Data/address bit","0",
"852518","852.518 ms","I2C","Address/data","ACK","ACK",
"852520","852.520 ms","I2C","Address/data","Data write","Data write: 00",
"852520","852.520 ms","I2C","Bits","Data/address bit","0",
"852523","852.523 ms","I2C","Bits","Data/address bit","0",
"852526","852.526 ms","I2C","Bits","Data/address bit","0",
"852529","852.529 ms","I2C","Bits","Data/address bit","0",
"852531","852.531 ms","I2C","Bits","Data/address bit","0",
"852534","852.534 ms","I2C","Bits","Data/address bit","0",
"852537","852.537 ms","I2C","Bits","Data/address bit","0",
"852539","852.539 ms","I2C","Bits","Data/address bit","0",
"852542","852.542 ms","I2C","Address/data","ACK","ACK",
"852545","852.545 ms","I2C","Address/data","Data write","Data write: 00",
"852545","852.545 ms","I2C","Bits","Data/address bit","0",
"852547","852.547 ms","I2C","Bits","Data/address bit","0",
"852550","852.550 ms","I2C","Bits","Data/address bit","0",
"852553","852.553 ms","I2C","Bits","Data/address bit","0",
"852555","852.555 ms","I2C","Bits","Data/address bit","0",
"852558","852.558 ms","I2C","Bits","Data/address bit","0",
"852561","852.561 ms","I2C","Bits","Data/address bit","0",
"852563","852.563 ms","I2C","Bits","Data/address bit","0",
"852566","852.566 ms","I2C","Address/data","ACK","ACK",
"852570","852.570 ms","I2C","Address/data","Stop condition","Stop",
"901712","901.712 ms","I2C","Address/data","Start condition","Start",
"901715","901.715 ms","I2C","Bits","Data/address bit","1",
"901715","901.715 ms","I2C","Address/data","Address write","Address write: 70",
"901718","901.718 ms","I2C","Bits","Data/address bit","1",
"901721","901.721 ms","I2C","Bits","Data/address bit","1",
"901723","901.723 ms","I2C","Bits","Data/address bit","0",
"901726","901.726 ms","I2C","Bits","Data/address bit","0",
"901729","901.729 ms","I2C","Bits","Data/address bit","0",
"901731","901.731 ms","I2C","Bits","Data/address bit","0",
"901734","901.734 ms","I2C","Bits","Data/address bit","0",
"901734","901.734 ms","I2C","Address/data","Address write","Write",
"901737","901.737 ms","I2C","Address/data","ACK","ACK",
"901739","901.739 ms","I2C","Address/data","Data write","Data write: 40",
"901739","901.739 ms","I2C","Bits","Data/address bit","0",
"901742","901.742 ms","I2C","Bits","Data/address bit","1",
"901745","901.745 ms","I2C","Bits","Data/address bit","0",
"901747","901.747 ms","I2C","Bits","Data/address bit","0",
"901750","901.750 ms","I2C","Bits","Data/address bit","0",
"901753","901.753 ms","I2C","Bits","Data/address bit","0",
"901755","901.755 ms","I2C","Bits","Data/address bit","0",
"901758","901.758 ms","I2C","Bits","Data/address bit","0",
